market,code,ex_ch
OTC,00937B,otc_00937B.tw
OTC,1815,otc_1815.tw
OTC,3081,otc_3081.tw
OTC,3105,otc_3105.tw
OTC,3211,otc_3211.tw
OTC,3234,otc_3234.tw
OTC,3260,otc_3260.tw
OTC,3264,otc_3264.tw
OTC,3293,otc_3293.tw
OTC,3363,otc_3363.tw
OTC,3374,otc_3374.tw
OTC,3455,otc_3455.tw
OTC,3490,otc_3490.tw
OTC,3498,otc_3498.tw
OTC,3529,otc_3529.tw
OTC,4707,otc_4707.tw
OTC,4966,otc_4966.tw
OTC,4971,otc_4971.tw
OTC,4991,otc_4991.tw
OTC,5274,otc_5274.tw
OTC,5347,otc_5347.tw
OTC,5351,otc_5351.tw
OTC,5425,otc_5425.tw
OTC,5457,otc_5457.tw
OTC,5483,otc_5483.tw
OTC,5536,otc_5536.tw
OTC,5864,otc_5864.tw
OTC,5904,otc_5904.tw
OTC,6016,otc_6016.tw
OTC,6121,otc_6121.tw
OTC,6147,otc_6147.tw
OTC,6182,otc_6182.tw
OTC,6187,otc_6187.tw
OTC,6190,otc_6190.tw
OTC,6244,otc_6244.tw
OTC,6265,otc_6265.tw
OTC,6274,otc_6274.tw
OTC,6488,otc_6488.tw
OTC,6535,otc_6535.tw
OTC,6547,otc_6547.tw
OTC,6548,otc_6548.tw
OTC,6603,otc_6603.tw
OTC,6693,otc_6693.tw
OTC,8069,otc_8069.tw
OTC,8086,otc_8086.tw
OTC,8299,otc_8299.tw
OTC,8358,otc_8358.tw
TSE,00403A,tse_00403A.tw
TSE,00406A,tse_00406A.tw
TSE,0050,tse_0050.tw
TSE,0056,tse_0056.tw
TSE,00881,tse_00881.tw
TSE,00918,tse_00918.tw
TSE,00919,tse_00919.tw
TSE,00927,tse_00927.tw
TSE,00935,tse_00935.tw
TSE,00981A,tse_00981A.tw
TSE,00982A,tse_00982A.tw
TSE,00988A,tse_00988A.tw
TSE,00990A,tse_00990A.tw
TSE,00991A,tse_00991A.tw
TSE,00992A,tse_00992A.tw
TSE,00993A,tse_00993A.tw
TSE,1101,tse_1101.tw
TSE,1102,tse_1102.tw
TSE,1210,tse_1210.tw
TSE,1215,tse_1215.tw
TSE,1216,tse_1216.tw
TSE,1227,tse_1227.tw
TSE,1234,tse_1234.tw
TSE,1301,tse_1301.tw
TSE,1303,tse_1303.tw
TSE,1310,tse_1310.tw
TSE,1312,tse_1312.tw
TSE,1314,tse_1314.tw
TSE,1319,tse_1319.tw
TSE,1326,tse_1326.tw
TSE,1402,tse_1402.tw
TSE,1409,tse_1409.tw
TSE,1440,tse_1440.tw
TSE,1476,tse_1476.tw
TSE,1477,tse_1477.tw
TSE,1513,tse_1513.tw
TSE,1560,tse_1560.tw
TSE,1563,tse_1563.tw
TSE,1590,tse_1590.tw
TSE,1605,tse_1605.tw
TSE,1609,tse_1609.tw
TSE,1611,tse_1611.tw
TSE,1707,tse_1707.tw
TSE,1708,tse_1708.tw
TSE,1714,tse_1714.tw
TSE,1717,tse_1717.tw
TSE,1718,tse_1718.tw
TSE,1789,tse_1789.tw
TSE,1802,tse_1802.tw
TSE,1909,tse_1909.tw
TSE,2002,tse_2002.tw
TSE,2006,tse_2006.tw
TSE,2023,tse_2023.tw
TSE,2027,tse_2027.tw
TSE,2031,tse_2031.tw
TSE,2049,tse_2049.tw
TSE,2059,tse_2059.tw
TSE,2103,tse_2103.tw
TSE,2105,tse_2105.tw
TSE,2106,tse_2106.tw
TSE,2301,tse_2301.tw
TSE,2302,tse_2302.tw
TSE,2303,tse_2303.tw
TSE,2308,tse_2308.tw
TSE,2312,tse_2312.tw
TSE,2313,tse_2313.tw
TSE,2316,tse_2316.tw
TSE,2317,tse_2317.tw
TSE,2323,tse_2323.tw
TSE,2324,tse_2324.tw
TSE,2327,tse_2327.tw
TSE,2330,tse_2330.tw
TSE,2332,tse_2332.tw
TSE,2337,tse_2337.tw
TSE,2340,tse_2340.tw
TSE,2342,tse_2342.tw
TSE,2344,tse_2344.tw
TSE,2345,tse_2345.tw
TSE,2347,tse_2347.tw
TSE,2351,tse_2351.tw
TSE,2352,tse_2352.tw
TSE,2353,tse_2353.tw
TSE,2356,tse_2356.tw
TSE,2357,tse_2357.tw
TSE,2359,tse_2359.tw
TSE,2360,tse_2360.tw
TSE,2367,tse_2367.tw
TSE,2368,tse_2368.tw
TSE,2371,tse_2371.tw
TSE,2374,tse_2374.tw
TSE,2376,tse_2376.tw
TSE,2377,tse_2377.tw
TSE,2379,tse_2379.tw
TSE,2382,tse_2382.tw
TSE,2383,tse_2383.tw
TSE,2388,tse_2388.tw
TSE,2392,tse_2392.tw
TSE,2393,tse_2393.tw
TSE,2395,tse_2395.tw
TSE,2401,tse_2401.tw
TSE,2404,tse_2404.tw
TSE,2408,tse_2408.tw
TSE,2409,tse_2409.tw
TSE,2412,tse_2412.tw
TSE,2421,tse_2421.tw
TSE,2426,tse_2426.tw
TSE,2436,tse_2436.tw
TSE,2439,tse_2439.tw
TSE,2449,tse_2449.tw
TSE,2451,tse_2451.tw
TSE,2454,tse_2454.tw
TSE,2455,tse_2455.tw
TSE,2474,tse_2474.tw
TSE,2481,tse_2481.tw
TSE,2486,tse_2486.tw
TSE,2489,tse_2489.tw
TSE,2492,tse_2492.tw
TSE,2505,tse_2505.tw
TSE,2515,tse_2515.tw
TSE,2536,tse_2536.tw
TSE,2538,tse_2538.tw
TSE,2542,tse_2542.tw
TSE,2548,tse_2548.tw
TSE,2601,tse_2601.tw
TSE,2603,tse_2603.tw
TSE,2605,tse_2605.tw
TSE,2606,tse_2606.tw
TSE,2609,tse_2609.tw
TSE,2610,tse_2610.tw
TSE,2615,tse_2615.tw
TSE,2618,tse_2618.tw
TSE,2633,tse_2633.tw
TSE,2634,tse_2634.tw
TSE,2636,tse_2636.tw
TSE,2637,tse_2637.tw
TSE,2646,tse_2646.tw
TSE,2704,tse_2704.tw
TSE,2731,tse_2731.tw
TSE,2801,tse_2801.tw
TSE,2812,tse_2812.tw
TSE,2820,tse_2820.tw
TSE,2834,tse_2834.tw
TSE,2838,tse_2838.tw
TSE,2845,tse_2845.tw
TSE,2851,tse_2851.tw
TSE,2855,tse_2855.tw
TSE,2867,tse_2867.tw
